,CitingAffiliatoinId,CitedAffiliatoinId,type_1,year_citing,year_cited,type_2,type_3,type_4
262,27837315,40347166,343,1990,1990,4,5.100665293838107,28.23076923076919
263,27837315,51713134,16,1990,1990,4,3.5090909090909084,9.0
264,27837315,57206974,1,1990,1990,1,0.5,0.5
265,27837315,63966007,3154,1990,1990,21,68.92957194419114,351.658653846157
266,27837315,66946132,364,1990,1990,4,3.806272770473619,28.423076923076877
267,27837315,71792333,6,1990,1990,1,1.9999999999999998,6.0
268,27837315,74973139,1021,1990,1990,19,10.082359640962189,81.05434149184133
269,27837315,75421653,6,1990,1990,1,1.9999999999999998,6.0
270,27837315,79558984,1,1990,1990,1,0.3333333333333333,0.5
271,27837315,79576946,4,1990,1990,3,1.8333333333333333,2.8333333333333335
272,27837315,81342731,2,1990,1990,1,2.0,2.0
273,27837315,86519309,3,1990,1990,1,1.5,1.5
274,27837315,95457486,4,1990,1990,4,3.5,2.5
275,27837315,97018004,7,1990,1990,4,6.5,3.5
276,27837315,102149020,1,1990,1990,1,1.0,1.0
277,27837315,103163165,279,1990,1990,4,2.504441065184827,23.97902097902089
278,27837315,103635307,435,1990,1990,6,6.388393564300413,44.38461538461532
279,27837315,122411786,901,1990,1990,14,13.800126168760865,76.12456293706293
280,27837315,123946342,1,1990,1990,1,0.5,0.5
281,27837315,126307644,2,1990,1990,1,1.0,2.0
282,27837315,130701444,2,1990,1990,1,1.0,2.0
283,27837315,130769515,7,1990,1990,2,1.380952380952381,2.6666666666666665
284,27837315,135310074,618,1990,1990,4,5.538140263209023,52.951048951049565
285,27837315,136199984,534,1990,1990,30,25.785782751519314,96.95090326340325
286,27837315,138006243,6,1990,1990,2,1.7142857142857142,2.6666666666666665
287,27837315,140172145,2,1990,1990,1,0.4,0.6666666666666666
288,27837315,145311948,589,1990,1990,13,5.408867825976478,45.6611305361305
289,27837315,154057602,10,1990,1990,1,1.6666666666666667,5.0
290,27837315,157725225,3,1990,1990,1,1.5,1.5
