AffiliationId,Rank,NormalizedName,DisplayName,GridId,OfficialPage,WikiPage,PaperCount,PaperFamilyCount,CitationCount,Iso3166Code,Latitude,Longitude,CreatedDate
174216632,7425,city university of new york,City University of New York,grid.212340.6,http://www.cuny.edu/,http://en.wikipedia.org/wiki/City_University_of_New_York,57322,55906,1238717,US,40.740337,-73.983086,2016-06-24
182565829,11553,scientific computing and imaging institute,Scientific Computing and Imaging Institute,null,http://www.sci.utah.edu/,http://en.wikipedia.org/wiki/Scientific_Computing_and_Imaging_Institute,794,756,20122,US,40.7677,-111.845,2016-06-24
186748736,15464,freed hardeman university,Freed–Hardeman University,grid.441116.7,http://www.fhu.edu/,http://en.wikipedia.org/wiki/Freed–Hardeman_University,46,45,138,US,35.43844,-88.63864,2016-06-24
867599234,13715,vion pharmaceuticals inc,"Vion Pharmaceuticals, Inc.",grid.422300.7,http://www.vionpharm.com/,"http://en.wikipedia.org/wiki/Vion_Pharmaceuticals,_Inc.",97,92,2862,US,41.323444,-72.92697,2016-06-24
887931861,14498,appalachian college of pharmacy,Appalachian College of Pharmacy,grid.430743.7,http://www.acp.edu/,http://en.wikipedia.org/wiki/Appalachian_College_of_Pharmacy,68,68,1414,US,37.21168,-82.0061,2016-06-24
927355774,13617,los angeles trade technical college,Los Angeles Trade–Technical College,grid.461594.b,http://www.lattc.edu/,http://en.wikipedia.org/wiki/Los_Angeles_Trade–Technical_College,108,95,1950,US,34.0315,-118.2706,2016-06-24
1282516798,10541,wake forest baptist medical center,Wake Forest Baptist Medical Center,grid.412860.9,http://www.wakehealth.edu/,http://en.wikipedia.org/wiki/Wake_Forest_Baptist_Medical_Center,3649,3625,46967,US,36.090412,-80.26977,2016-06-24
1285675984,13979,national association of insurance commissioners,National Association of Insurance Commissioners,null,http://www.naic.org/,http://en.wikipedia.org/wiki/National_Association_of_Insurance_Commissioners,41,40,1003,US,39.100376,-94.577934,2016-06-24
1294913275,14325,university press of america,University Press of America,null,http://www.univpress.com/,http://en.wikipedia.org/wiki/University_Press_of_America,110,106,913,US,38.96191,-76.86234,2016-06-24
1296747019,11607,united parcel service,United Parcel Service,grid.480452.f,https://www.ups.com/,http://en.wikipedia.org/wiki/United_Parcel_Service,810,807,22193,US,33.933784,-84.361725,2016-06-24
1300848581,13303,american nurses association,American Nurses Association,grid.422488.0,http://nursingworld.org/,http://en.wikipedia.org/wiki/American_Nurses_Association,245,243,2454,US,38.995125,-77.02682,2016-06-24
1302368832,12239,arizona department of health services,Arizona Department of Health Services,grid.413872.b,http://www.azdhs.gov/,http://en.wikipedia.org/wiki/Arizona_Department_of_Health_Services,385,384,9063,US,33.449993,-112.099236,2016-06-24
1317635190,10242,valve corporation,Valve Corporation,null,http://www.valvesoftware.com/,http://en.wikipedia.org/wiki/Valve_Corporation,4320,4309,37085,US,47.613964,-122.19395,2016-06-24
1320842695,14579,promedica,ProMedica,null,http://www.promedica.org/,http://en.wikipedia.org/wiki/ProMedica,67,67,832,US,41.65873,-83.64132,2016-06-24
1341030882,13532,educational testing service,Educational Testing Service,grid.286674.9,http://www.ets.org/,http://en.wikipedia.org/wiki/Educational_Testing_Service,161,158,2729,US,40.344563,-74.71289,2016-06-24
1343502969,14821,idaho central credit union,Idaho Central Credit Union,null,https://www.iccu.com/,http://en.wikipedia.org/wiki/Idaho_Central_Credit_Union,69,69,375,US,42.91385,-112.46293,2016-06-24
2799890941,19442,tennessee emergency management agency,Tennessee Emergency Management Agency,grid.494065.a,null,https://en.wikipedia.org/wiki/Tennessee_Emergency_Management_Agency,1,1,0,US,36.100388,-86.75698,2018-05-17
2799910692,16029,cave research foundation,Cave Research Foundation,grid.478629.6,null,https://en.wikipedia.org/wiki/Cave_Research_Foundation,22,22,118,US,39.099308,-76.848305,2018-05-17
2800468643,16421,muskegon community college,Muskegon Community College,grid.462610.7,null,https://en.wikipedia.org/wiki/Muskegon_Community_College,19,19,32,US,43.2492,-86.1957,2018-05-17
2800718168,16235,pennsylvania college of health sciences,Pennsylvania College of Health Sciences,grid.469065.8,null,https://en.wikipedia.org/wiki/Pennsylvania_College_of_Health_Sciences,23,23,31,US,40.045,-76.3029,2018-05-17
2800772125,11296,denver federal center,Denver Federal Center,grid.417819.2,null,https://en.wikipedia.org/wiki/Denver_Federal_Center,627,622,33592,US,39.71963,-105.12105,2018-05-17
2800807357,16831,folsom lake college,Folsom Lake College,grid.462213.0,null,https://en.wikipedia.org/wiki/Folsom_Lake_College,9,9,74,US,38.66153,-121.12738,2018-05-17
2801344724,17232,halifax community college,Halifax Community College,grid.468945.2,null,https://en.wikipedia.org/wiki/Halifax_Community_College,5,5,78,US,36.4283,-77.6184,2018-05-17
